,0
0,12
1,super mario world
2,20
3,25
4,26
5,28
6,30
7,32
8,33
9,45
10,49
11,super mario land 2 6 golden coins
12,57
13,58
14,81
15,82
16,85
17,88
18,89
19,92
20,97
21,101
22,106
23,115
24,128
25,130
26,132
27,street fighter ii the world warrior
28,156
29,super smash bros
30,158
31,super mario world
32,crash bandicoot the wrath of cortex
33,172
34,174
35,176
36,184
37,185
38,187
39,189
40,191
41,199
42,202
43,203
44,206
45,209
46,210
47,214
48,218
49,223
50,225
51,233
52,234
53,pitfall
54,241
55,242
56,248
57,249
58,kingdom hearts ii
59,263
60,269
61,270
62,271
63,273
64,frogger
65,281
66,282
67,283
68,world soccer winning eleven 9
69,293
70,304
71,donkey kong land
72,306
73,307
74,312
75,315
76,flash focus vision training in minutes a day
77,317
78,319
79,321
80,harry potter and the sorcerers stone
81,338
82,339
83,341
84,347
85,351
86,croc legend of the gobbos
87,363
88,366
89,368
90,370
91,372
92,373
93,kung fu
94,378
95,381
96,390
97,391
98,392
99,394
100,398
101,401
102,james bond 007 nightfire
103,gran turismo psp
104,414
105,417
106,419
107,killer instinct
108,426
109,431
110,436
111,440
112,441
113,446
114,452
115,epic mickey
116,tom clancys splinter cell
117,465
118,467
119,dragon ball z budokai tenkaichi 3
120,471
121,474
122,488
123,492
124,sonic mega collection plus
125,497
126,499
127,509
128,510
129,512
130,514
131,wwe smackdown vs raw
132,myst
133,527
134,531
135,546
136,549
137,558
138,561
139,563
140,tom clancys splinter cell
141,medal of honor heroes
142,super mario bros the lost levels
143,577
144,583
145,style savvy
146,587
147,589
148,594
149,602
150,game party
151,611
152,612
153,614
154,617
155,618
156,635
157,636
158,tetris plus
159,pro wrestling
160,649
161,650
162,monopoly
163,659
164,663
165,665
166,667
167,670
168,671
169,672
170,resident evil  code veronica x
171,692
172,699
173,701
174,706
175,716
176,728
177,731
178,frogger
179,737
180,743
181,746
182,758
183,764
184,773
185,778
186,779
187,786
188,787
189,788
190,790
191,791
192,804
193,805
194,kingdom hearts birth by sleep
195,812
196,815
197,816
198,828
199,829
200,833
201,837
202,touchmaster
203,845
204,849
205,sonic classic collection
206,864
207,866
208,870
209,877
210,jet moto 2
211,884
212,893
213,monopoly
214,907
215,911
216,913
217,915
218,916
219,933
220,gran turismo concept 2001 tokyo
221,941
222,944
223,jet moto
224,the orange box
225,air combat
226,952
227,sonic advance 2
228,967
229,968
230,975
231,977
232,metroid ii return of samus
233,998
234,999
235,1001
236,yoshi
237,1010
238,1013
239,1020
240,harry potter and the sorcerers stone
241,crash bandicoot the huge adventure
242,1032
243,1040
244,1046
245,1048
246,1050
247,1053
248,super puyo puyo
249,1061
250,1065
251,harry potter and the sorcerers stone
252,1069
253,1071
254,shaun white snowboarding road trip
255,1089
256,1090
257,1091
258,1093
259,1099
260,dragon ball z budokai tenkaichi
261,go vacation
262,1110
263,1113
264,1114
265,1116
266,ghosts n goblins
267,1119
268,1134
269,1143
270,super mario strikers
271,spongebobs atlantis squarepantis
272,dance dance revolution hottest party 2
273,moshi monsters moshling zoo
274,1156
275,1166
276,nascar 2000
